OBJECTID,SITE_ID,X,Y,ADDRESS_1,ADDRESS_2,ADDRESS_3,POST_CODE,KNOWN_AS,GlobalID
400,YK1047,460239.6118,452604.5322,Union Terrace Car Park,(004),,,,{0343C848-0A24-4882-86B4-4E7C3DC131DC}
426,YK1028,458713.3048,451398.7539,Poppleton Road,Acomb Road,The Fox,YO24 4EW,,{3DF53121-7C1E-46EE-B824-E62E7662DEF6}
643,YK1015,459886.6977,451609.7851,Micklegate (West),Barker Lane,,,,{AB57F094-FBF0-4B7E-AC4A-70D565B503F9}
570,YK1125,464798,451551,Hull Road/Grimston Bar,nr Grimston Bar Interchange,,YO19 5LA,,{2F1575C5-10FB-4435-A7FC-A5BA85BBBE04}
614,YK1048,460756.9621,451435.0759,Peel Street Car Park,,,,,{15A79297-268B-42E7-A5C2-14F9AE413739}
979,YK1132,460135.1332,451622.2617,Micklegate,Skeldergate,,YO1 6DG,,{B303019F-A3F2-41A8-A0EE-F0C6C577C3FA}
655,YK1051,460960.0909,451120.7975,Cemetery Road,Heslington Road,,YO10 5AR,,{A6102BAE-7CD5-45CB-BE0F-9CD9755B2955}
601,YP150B,457614.2372,454615.8244,Rawcliffe Bar Park & Ride,Shipton Road,,YO30 5XJ,,{D3BDA3FE-6B95-4797-AC18-2D831AD2DB42}
557,YK1060,461374.7153,448137.6321,Fulford Interchange North,,,,,{31E55605-9681-4969-BE2E-DB5DE6A47970}
558,YK1036,459708.6368,452194.1947,Marygate Car Park (001),,,,,{9D6D5B72-20E5-4A11-B73A-BD45688D7279}
546,YP150A,457632.0664,454601.9829,Rawcliffe Bar Park & Ride,Shipton Road,,YO30 5XJ,,{FA287C06-14E4-4945-8089-991C34A4CC76}
539,YK1020,459776.8836,451415.7204,Nunnery Lane Car Park (001),Nunnery Lane Toilets,,,,{7FCCDBCF-265E-4336-85A9-24C88A72A013}
604,YP1307,462249.6626,454467.3887,Monk's Cross Park & Ride,Monk's Cross,,YO32 9JU,,{70969F62-A6B5-4BE2-BE15-720A9D83F2B2}
577,YK1030,460495.062,451228.817,St. George's Field Car Park,(002),,,,{4877EBA0-CB88-4187-B1CA-0FCA39B26D72}
608,YP1101,457879,448308,Askham Bar Park & Ride,A1036 Tadcaster Road,,Y023 2UB,,{B4D880F7-B04E-4F60-9D39-DF36B8A984D7}
561,YP1308,462251.9286,454464.5932,Monk's Cross Park & Ride,Monk's Cross,,YO32 9JU,,{07757FA3-E36D-45AF-BD54-E97985DDACEF}
566,YP150C,457607.3287,454609.2784,Rawcliffe Bar Park & Ride,Shipton Road,,YO30 5XJ,,{3FA549B3-E012-491C-9BEF-03968685BA07}
619,YP140A,455793.5525,453268.1471,Poppleton Bar Park & Ride,North Field Lane,,YO26 6PZ,,{F2457088-FF88-4D99-9B6A-A168FF62357F}
624,YK1073,461843.8092,451317.0318,Hull Road,Melrosegate,,YO10 3JW,,{731DA972-3E19-4188-B9DB-0459ADB27AE4}
638,YK1050,460471.8203,451554.6512,Castle Car Park,,,,,{DD925190-B5A2-4F30-A49D-70A814E9EF20}
648,YP140C,455803.8684,453276.1955,Poppleton Bar Park & Ride,North Field Lane,,YO26 6PZ,,{D6704AD8-9592-46E5-A7BE-C2E7E6E4CCC4}
360,YP1107,457885,448314,Askham Bar Park & Ride,A1036 Tadcaster Road,,Y023 2UB,,{CD7DFF6F-7D20-4867-9FA1-871C67C1C925}
409,YK1009,460177.1162,451625.2951,Bridge Street,Ouse Bridge,,,,{DB809157-4F5A-403D-B749-CAEE7208C498}
414,YK1509,459810.74,451740.847,CYC West Offices,Main Building West Side,External,YO1 6GA,Staff Enterance ,{62A80260-7B23-44BB-B0DC-AE1E1720D688}
